category_mn,service_name_mn,price_mnt,is_available,notes
Бөөрний үйл ажиллагааны сорилууд,Үлдэгдэл азот,5000,true,
Бөөрний үйл ажиллагааны сорилууд,Шээсэнд проферин үзэх,20000,true,
Бөөрний үйл ажиллагааны сорилууд,"Наалдац /эр,эм/",25000,true,
Дүрс оношлогоо,Эхо оношилгоо,50000,true,
Дүрс оношлогоо,Ходоодны уян дуран,100000,true,
Дүрс оношлогоо,Рентген зураг /уушиг/,45000,true,
Дүрс оношлогоо,Рентген /бусад/,50000,true,
Дүрс оношлогоо,Зүрхний доплерт эхо,80000,true,
Дүрс оношлогоо,Зүрхний бичлэг,15000,true,
Дүрс оношлогоо,TORCH халдвар /тоогоор/,150000,true,
Дүрс оношлогоо,Демотекс үзэх,15000,true,
Дүрс оношлогоо,"TORCH халдвар /эерэг,сөрөг/",100000,true,
Бактериологийн шинжилгээ,Шээсний ариун чанар,45000,true,
Бактериологийн шинжилгээ,Хоолойны арчдас,50000,true,
Бактериологийн шинжилгээ,Цэрний бактериологи,50000,true,
Бактериологийн шинжилгээ,Шархны арчдас,50000,true,
Бактериологийн шинжилгээ,Үтрээний бактериологи,50000,true,
Бактериологийн шинжилгээ,MRSA,40000,true,
Бактериологийн шинжилгээ,Өтгөн /бацилл илрүүлэх/,20000,true,
Бактериологийн шинжилгээ,Хэвлийн шингэн /плевр/,60000,true,
